"取引日時","通貨","取引種別","取引価格","通貨1","通貨1数量","手数料","通貨1の対円レート","通貨2","通貨2数量","手数料(JPY)","課税区分","自己・媒介","注文 ID","備考"
"2023/01/15 15:36:48","JPY","入金","0","JPY","3,000","0","0","","0","","","","MDP20230115-063648-440518",""
"2023/01/10 21:05:21","XYM","預入","0","XYM","117","0","4.29","","0","","","","CDP20230110-120521-534525",""
"2022/11/10 10:19:17","XEM/JPY","買い","4.66","XEM","59.656652","0","4.66","JPY","-278","","","自己","BFF20221110-011917-331538",""
"2022/11/10 10:19:07","XLM/JPY","売り","12.046","XLM","-20","0","12.046","JPY","240","","","自己","BFF20221110-011907-329785",""
"2022/11/10 01:21:46","XEM/JPY","買い","4.94","XEM","161.943319","0","4.94","JPY","-800","","","自己","BFF20221109-162146-889327",""
"2022/11/05 00:30:39","JPY","手数料","0","JPY","-550","0","0","","0","","","","MWD20221104-153039-418921F",""
"2022/11/05 00:30:39","JPY","出金","0","JPY","-7,000","0","0","","0","","","","MWD20221104-153039-418921",""
"2022/11/05 00:29:15","XYM/JPY","売り","5.46","XYM","-1,500.826094","0","5.46","JPY","8,194","","","自己","BFF20221104-152915-403256",""
"2022/11/01 05:32:05","JPY","手数料","0","JPY","-550","0","0","","0","","","","MWD20221031-203205-646303F",""
"2022/11/01 05:32:05","JPY","出金","0","JPY","-5,000","0","0","","0","","","","MWD20221031-203205-646303",""
"2022/11/01 05:29:21","XEM/JPY","売り","5.5","XEM","-1,044.426889","0","5.5","JPY","5,744","","","自己","BFF20221031-202921-616743",""
"2022/05/28 13:19:11","XEM/JPY","買い","6.32","XEM","355.379746","0","6.32","JPY","-2,246","","","自己","BFF20220528-041911-571317",""
"2022/05/28 13:18:59","BTC/JPY","売り","3,549,871","BTC","-0.00063295","0","3,549,871","JPY","2,246","","","自己","BFF20220528-041859-569765",""
"2022/05/13 10:18:05","XYM/JPY","買い","9.38","XYM","459.594882","0","9.38","JPY","-4,311","","","自己","BFF20220513-011805-973992",""
"2022/05/13 10:17:51","XEM/JPY","売り","5.31","XEM","-811.864407","0","5.31","JPY","4,311","","","自己","BFF20220513-011751-971087",""
"2022/05/08 11:30:03","XYM/JPY","買い","11.14","XYM","40.394973","0","11.14","JPY","-450","","","自己","BFF20220508-023003-586503",""
"2022/05/08 11:29:41","BTC/JPY","買い","4,658,083","BTC","0.00021468","0","4,658,083","JPY","-1,000","","","自己","BFF20220508-022941-582026",""
"2022/05/08 08:59:58","XYM/JPY","買い","11.67","XYM","100","0","11.67","JPY","-1,167","","","自己","BFF20220507-235958-879067",""
"2022/05/08 08:55:57","XYM/JPY","買い","11.75","XYM","100","0","11.75","JPY","-1,175","","","自己","BFF20220507-235557-836591",""
"2022/05/08 07:13:42","BTC/JPY","買い","4,743,224","BTC","0.00021082","0","4,743,224","JPY","-1,000","","","自己","BFF20220507-221342-746958",""
